,Unnamed: 0,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,year
0,0,1,Finland,7.6320000000000014,1.305,1.592,,0.6809999999999999,0.202,0.393,2018
1,1,2,Norway,7.5939999999999985,1.456,1.582,,0.6859999999999999,0.28600000000000003,0.34,2018
2,2,3,Denmark,7.555,1.351,1.59,,0.6829999999999999,0.284,0.408,2018
3,3,4,Iceland,7.495,1.3430000000000002,1.644,,0.677,0.353,0.138,2018
4,4,5,Switzerland,7.487,1.42,1.5490000000000002,,0.66,0.256,0.35700000000000004,2018
5,5,6,Netherlands,7.441,1.361,1.4880000000000002,,0.638,0.333,0.295,2018
6,6,7,Canada,7.3279999999999985,1.33,1.5319999999999998,,0.653,0.321,0.29100000000000004,2018
7,7,8,New Zealand,7.324,1.268,1.601,,0.669,0.365,0.389,2018
8,8,9,Sweden,7.314,1.355,1.501,,0.659,0.285,0.383,2018
9,9,10,Australia,7.272,1.34,1.5730000000000002,,0.647,0.361,0.302,2018
10,10,11,United Kingdom,7.19,1.244,1.433,,0.464,0.262,0.08199999999999999,2018
11,11,12,Austria,7.1389999999999985,1.341,1.504,,0.617,0.242,0.224,2018
12,12,13,Costa Rica,7.072,1.01,1.459,,0.632,0.14300000000000002,0.101,2018
13,13,14,Ireland,6.977,1.4480000000000002,1.5830000000000002,,0.614,0.307,0.306,2018
14,14,15,Germany,6.965,1.34,1.474,,0.586,0.273,0.28,2018
15,15,16,Belgium,6.9270000000000005,1.324,1.483,,0.583,0.188,0.24,2018
16,16,17,Luxembourg,6.91,1.5759999999999998,1.52,,0.632,0.196,0.321,2018
17,17,18,United States,6.886,1.398,1.471,,0.547,0.29100000000000004,0.133,2018
18,18,19,Israel,6.814,1.301,1.5590000000000002,,0.5329999999999999,0.354,0.272,2018
19,19,20,United Arab Emirates,6.774,2.096,0.7759999999999999,,0.284,0.18600000000000005,,2018
20,20,21,Czech Republic,6.711,1.233,1.489,,0.5429999999999999,0.064,0.034,2018
21,21,22,Malta,6.627000000000002,1.27,1.525,,0.645,0.376,0.142,2018
22,22,23,France,6.489,1.293,1.466,,0.52,0.098,0.17600000000000002,2018
23,23,24,Mexico,6.488,1.038,1.252,,0.479,0.069,0.095,2018
24,24,25,Chile,6.476,1.131,1.331,,0.431,0.197,0.061,2018
25,25,26,Taiwan,6.441,1.365,1.436,,0.418,0.151,0.078,2018
26,26,27,Panama,6.43,1.112,1.4380000000000002,,0.597,0.125,0.063,2018
27,27,28,Brazil,6.419,0.986,1.474,,0.493,0.11,0.08800000000000001,2018
28,28,29,Argentina,6.388,1.073,1.4680000000000002,,0.57,0.062,0.054000000000000006,2018
29,29,30,Guatemala,6.3820000000000014,0.7809999999999999,1.268,,0.604,0.179,0.071,2018
30,30,31,Uruguay,6.379,1.093,1.459,,0.625,0.13,0.155,2018
31,31,32,Qatar,6.374,1.649,1.3030000000000002,,0.654,0.256,0.171,2018
